ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,WCO,errWCO,COmax,xcomass,total surface density,lte mass,err lte mass,meansigv,errsigv,ellipse a,ellipse b,ellipse R,ellipse R error,xco alphavir,lte alphavir,lte alphavir err,area,perimeter
139,2,1245,2075,42,1006,1875,4.74E+04,36.62,30.67,1.10E+05,-0.06288,-6667,666.7,8.89,0.4223,28.63,9.409,20.04,14.64,16.73,-275.1,204.5,2243,316.6
140,2,237,1124,39,1057,1536,3.83E+04,33.14,30.58,8.86E+04,-0.01193,-1022,102.2,8.839,0.4095,23.14,16.7,26.66,9.308,27.24,-2360,884.5,2357,346.4
141,2,828,2232,61,359,612,1.55E+04,20.92,30.41,3.58E+04,0.05667,1964,196.4,7.159,0.3423,11.2,11.2,4.625,12.64,7.665,139.8,382.6,800.5,164.3
142,2,861,692,36,473,605,1.53E+04,20.8,30.22,3.54E+04,0.01068,365.6,36.56,5.189,0.191,16.08,5.094,nan,7.726,nan,nan,nan,1055,209.1
143,2,1250,1788,53,1082,1386,3.47E+04,31.48,30.1,8.01E+04,0.0029,224.8,22.48,8.745,0.3871,24.4,10.11,18.48,15.65,20.44,7283,6242,2413,504.7
144,2,1189,1830,51,623,778,1.98E+04,23.59,30.08,4.58E+04,0.02419,1071,107.1,8.986,0.4478,15.63,15.63,18.3,8.94,37.38,1597,812.3,1389,259.8
145,2,1321,1065,35,1757,2921,7.42E+04,45.71,29.98,1.72E+05,-0.1236,-2.05E+04,2052,12.4,0.5915,26.18,11.19,21.54,11.95,22.35,-186.8,106.8,3918,522.6
146,2,2020,2307,41,907,1739,4.42E+04,35.27,29.87,1.02E+05,0.01036,1025,102.5,7.131,0.3324,22.01,22.01,31.14,7.495,17.94,1789,495.3,2022,301.6
147,2,228,2071,35,1916,3101,7.77E+04,47.09,29.84,1.80E+05,-0.1281,-2.22E+04,2224,10.68,0.5159,35.94,35.94,55.71,15.67,40.99,-330.8,103.8,4272,582.4
148,2,1637,2130,39,2290,4335,1.10E+05,55.68,29.76,2.54E+05,0.06275,1.54E+04,1542,12.4,0.5959,49.24,49.24,78.08,24.49,54.77,902.1,309.4,5106,606.2
149,2,1090,2052,52,928,1828,4.69E+04,36.16,29.74,1.08E+05,0.1984,2.08E+04,2078,10.71,0.5279,22.65,8.177,13.39,18.62,16.41,85.51,119.5,2069,283.7
150,2,1835,268,29,1222,2280,5.68E+04,40.38,29.73,1.31E+05,0.1795,2.28E+04,2278,12.44,0.6016,25.07,12.11,22.19,15.48,30.3,174.5,124.1,2725,388.2
151,2,437,2103,40,2836,6478,1.62E+05,68.06,29.72,3.75E+05,-0.05581,-2.02E+04,2024,17.7,0.8531,49.61,49.61,78.69,13.54,76.22,-1411,312.1,6323,806.3
152,2,955,1384,41,728,812,2.06E+04,24.1,29.64,4.77E+04,0.09312,4298,429.8,5.25,0.2074,21.05,11.96,18.84,10.89,12.61,140,82.83,1623,247.9
153,2,1331,1820,39,627,986,2.49E+04,26.55,29.61,5.75E+04,-0.01198,-666,66.6,6.978,0.2972,12.06,12.06,8.597,3.358,8.436,-727.9,300,1398,283.7
154,2,1218,2158,38,765,961,2.37E+04,26.22,29.51,5.48E+04,0.004354,230.9,23.09,7.094,0.3244,28.38,11.97,24.23,18.97,25.77,6116,4860,1706,394.2
155,2,1048,488,56,434,855,2.15E+04,24.73,29.45,4.96E+04,0.09747,4681,468.1,10.56,0.4914,10.24,10.24,nan,3.682,nan,nan,nan,967.7,176.2
156,2,1627,262,45,367,555,1.42E+04,19.92,29.38,3.28E+04,-0.01573,-498.6,49.86,5.229,0.2029,12.59,9.742,3.733,9.331,3.609,-237.1,593.4,818.3,164.3
157,2,1451,2009,62,501,776,1.98E+04,23.56,28.91,4.58E+04,0.1616,7154,715.4,7.074,0.3187,22.82,22.82,32.65,14.86,41.35,264.5,125.5,1117,224
158,2,1253,1092,36,486,770,1.96E+04,23.47,28.7,4.52E+04,-0.03841,-1679,167.9,nan,nan,21.18,21.18,29.58,8.672,nan,nan,nan,1084,164.3
159,2,872,2202,57,425,526,1.34E+04,19.4,28.65,3.10E+04,0.1271,3807,380.7,5.301,0.2181,13.61,7.197,nan,7.521,nan,nan,nan,947.6,191.1
160,2,1138,2409,42,423,510,1.29E+04,19.1,28.61,2.98E+04,0.02001,576.4,57.64,nan,nan,18.15,18.15,23.66,7.132,nan,nan,nan,943.2,164.3
161,2,708,980,48,853,1246,3.14E+04,29.85,28.61,7.25E+04,0.1157,8115,811.5,7.018,0.3049,18.38,18.38,24.13,5.768,18.98,169.6,46.35,1902,268.8
162,2,572,1919,29,434,620,1.54E+04,21.06,27.61,3.55E+04,0.03811,1308,130.8,7.059,0.3148,13.65,10.66,8.629,9.559,14.04,380.8,424.9,967.7,188.1
163,2,1943,1900,39,556,873,2.19E+04,24.99,27.6,5.05E+04,0.009815,479.6,47.96,8.875,0.4229,13.67,13.67,13.56,7.958,24.49,2579,1555,1240,197.1
